key,input,mw
PCQFQFRJSWBMEL-UHFFFAOYSA-N,COC(=O)C1=CC=CC2=C1C(=O)C1=CC([N+](=O)[O-])=CC=C21,283.239
MRSBJIAZTHGJAP-UHFFFAOYSA-N,CN(C)CCC1=CN(C)C2=CC=C(O)C=C12,218.3
CJUOVTMTGQENNQ-UHFFFAOYSA-N,CC1=C(S(=O)(=O)N2CCCCC2)C2=C(S1)N=CN(CC(=O)N1CCN(C3=CC=CC=N3)CC1)C2=O,516.6490000000002
OFCIHDDKDVHWGO-LICLKQGHSA-N,CN(C)CCOC1=CC=C(C(=O)/C=C/C2=CC=C(OC3=CC=CC=C3)C=C2)C=C1,387.47900000000004
SZROQWMXFIMBGE-UHFFFAOYSA-N,O=C(CCC1=COC2=CC=CC(OCC3CCCCC3)=C2C1=O)C1=CC=C(O)C=C1,406.4780000000002
JPUYMGDDFYZFAW-RWPZCVJISA-N,CC1=CC=C(COC2=NN(CN3CCOCC3)C(=S)N2/N=C/C2=CNN=C2C2=CC=C(F)C=C2)C=C1,507.5950000000001
XXSWBBWTSHPVCC-UHFFFAOYSA-N,O=C(C1=CC=C(Cl)C=C1)C1CCN(C(=O)N2CCOCC2)CC1,336.8190000000002
OWTIHQUNWMBJJI-UHFFFAOYSA-N,CC(C)(C)C(=O)NC1=NC=NC2=C1C=NN2CCCCN1CCCCCC1,372.51700000000034
KFQXWSDYVAMPQI-UHFFFAOYSA-N,COC1=CC=CC(NC2=NC(C3=CC=NC=C3)=NC3=C2CNCC3)=C1.Cl,369.85600000000017
SSBNRQDSJMVBFJ-RSAKONNUSA-N,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(=O)[C@@H](N)CC5=CNC6=CC=CC=C56)CC[C@]4(C)[C@H]3CC[C@]12C.Cl,539.1600000000004
XEMDRLXRJOVYGU-NGQVCNFZSA-N,N#CC1=CC=NC(N2C(=O)CC[C@H]2C(=O)N(C2=CC(F)=CC(F)=C2)[C@@]2(C(=O)NC3CC(F)(F)C3)CCC3=CC=CC=C23)=N1,592.5530000000002
YUJKRRMBAXBTAX-RGVLZGJSSA-N,COC1=CC(/C=N/NC(=O)C2=C(C)N=C3C=CC=CN23)=CC(OC)=C1OC,368.39300000000014
VQUGIBFGYYBZLL-VQHVLOKHSA-N,COC1=CC=C(/C=C/C(=O)NO)C=C1OCC(=O)NC1=CC=CC=C1F,360.341
YDQBBEVGBOZATK-UHFFFAOYSA-N,CCCCOC(=O)C(C)NP(=O)(OCC1C=CC(N2C=C(C)C(=O)NC2=O)O1)OC1=CC=CC=C1,507.4800000000002
LEGFVEQZPWXYTI-WFASDCNBSA-N,CNC(=O)C1=C(C2=CC=C(F)C=C2)OC2=CC3=C(C=C12)[C@H](C)O[C@H](CO)CN3S(C)(=O)=O,462.4990000000002
ZTWVGRSFXPTBAM-JSPCBWMCSA-N,CCCCCCCCCCCCCCC(N)C(=O)NC(C(=O)O)[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@H](O)[C@@H]1O,540.6580000000002
RWUFAEVJYHDDES-UHFFFAOYSA-N,CC1=CC(OC(=O)CNC(=O)OC(C)(C)C)=C2C(C)=CC(=O)OC2=C1,347.3670000000001
VYVDPFREHHCGMM-UHFFFAOYSA-N,CC(=O)OC1=CC=C(C23C4=CC=CC=C4C2(OC(C)=O)C2=CC(OC(C)=O)=CC=C32)C=C1,428.44000000000017
QHADJKUYFUOVCK-HNNXBMFYSA-N,NC1=NC(NCC2=CC=CC=C2)=NC(C2=CC=C(C[C@H](N)C(=O)O)C=C2)=N1,364.40900000000005
IZOISCLCEJAWOV-UHFFFAOYSA-N,COC1=CC=C(NN2C(SCC(=O)C3=CC=CC(Cl)=C3)=NC(C)=C2C)C=C1,401.91900000000015
BEMYQDIZJDCLPJ-AGCSASOPSA-N,C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@](C)(O1)[C@@H](OC(C)=O)[C@@H](OC(=O)NCCC(C)(C)C)[C@H]1C(C)(C)CC[C@H](O)[C@]21C,537.6940000000003
AYKQRUQOEWTZTK-UHFFFAOYSA-N,N#CC1=CC=C(C2=CC(O)=C3C(=N2)C=CC2=C3C=CN2)C=C1,285.306
APMVGNPBLZECRV-UHFFFAOYSA-N,CC1(C)CC(=O)C2=CN=C(NC3CCCC3)N=C2C1,259.353
AINIBIDPBURRQT-FQEVSTJZSA-N,CCC1=NC=NC(C2=CC(F)=C(C(=O)N3CCN4CCC[C@H]4C3)C(F)=C2)=C1C#CC1=CC=C(NC)N=C1,502.5690000000003
UYIDAVYFEXPFNX-IBGZPJMESA-N,CCC(=O)N(C)C[C@H](O)C1=CC=CC(OCC2=NC3=CC=CC=C3N2C)=C1,367.44900000000007
SIBWATARUGFMIW-XGARDCMYSA-N,CC(C)S(=O)(=O)N(C)C1=CC(C(=O)N[C@@H](CC2=CC=CC=C2)[C@@H](N)CF)=CC(NC[C@H]2C[C@@H]2C)=N1,505.6600000000002
PCKDIVVCHMEVBB-WWWBCOLUSA-N,C=C(CO)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5C[C@H](O)[C@@]34C)[C@@H]12,456.7110000000003
SBGQARXHSNVEBU-UHFFFAOYSA-N,C=CCOC1C(O)C(CNS(=O)(=O)C2=CC=CC(C(F)(F)F)=C2)OC(OC2=CC=C(I)C=C2)C1OC(=O)CC,685.455
YSVCSIFSQNVBBW-UHFFFAOYSA-N,O=C(C1=CN=C2C=CC(C3=CC(Cl)=C(O)C(Cl)=C3)=CC2=C1NC1=CC=C(NCCO)N=C1)C1CC1,509.39300000000026
SNEHYEVNOARYTM-UHFFFAOYSA-N,CCCCCCCCCC1=CC(=O)C2=C(O)C=CC=C2O1,288.38700000000006
LNMWMYAAMASJED-UHFFFAOYSA-N,CCC1=CC=CC(N2CCN(CC(O)CCNC(=O)C3=CN4C=CC=CC4=N3)CC2)=C1Cl,455.9900000000001
IGKDWTQYUSSPNP-UYRXBGFRSA-N,CC1=CC=C2N=C(Cl)C(/C=C3\C(=O)N(C4=C(Cl)C=CC=C4Cl)C4=CC=CC=C34)=CC2=C1C,479.79400000000027
WOBLFXQUSKAFFZ-UHFFFAOYSA-N,O=C1N(C2=CC=CC=C2)C(=O)C(C2=CC=CC=C2)(C2=CC=CC=C2)N1CNC1=NC2=CC=CC=C2S1,490.58800000000014
GOOGDNLQKOSOJY-MOOVDDBPSA-N,CCO[C@H]1CC[C@]2(CC1)CC1=CC=C(C3=CN=CC(Cl)=C3)C=C1C21N=C(C)C(N)=N1,422.9600000000002
XLBIGXBNLRLBQS-UHFFFAOYSA-N,COC1=CC=C(NC2=NC=NC3=C2C(C2=CC=CC(C)=C2)C2=C(C)NN=C2O3)C=C1,399.4540000000002
QYERABWMFRRINX-UHFFFAOYSA-N,CC1=CC=CC(NC(=O)NC2N=C(N3CC4CCC(CC4)C3)C3=CC=CC=C3N(C)C2=O)=C1,445.56700000000023
AHHJEWZLXMNTAE-VBJCNYAASA-N,O=C1C(OCC2=CC=CC=C2)C(OCC2=CC=CC=C2)C[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,460.6180000000004
KTOHUWTYVYAIPZ-UHFFFAOYSA-N,CCC(CC)C1CC12NC(=O)N(C)C2=O,210.277
GDEOYDDMOTVXFJ-UHFFFAOYSA-N,CN(CC1=CC=CO1)C(=O)C1=CC2=C(S1)C1=CC=C(Cl)C=C1S(=O)(=O)C2,407.90000000000015
WGOJTMDNXYAFOP-UHFFFAOYSA-N,COC1=CC=C(NC(=O)CN2CCOCC2)C=C1.O=C(O)C(=O)O,340.33200000000005
DEINDUUETPGSMD-UHFFFAOYSA-N,NC(=O)C1=CC=C(NC(=O)CCCN2N=C(C3=CC=C(Cl)C=C3)C=CC2=O)C=C1,410.86100000000005
JIIRCKKPTYSKOP-UHFFFAOYSA-N,N#CC1=CC=C(OCC2CN(C3=CC=C(C4=CC=CC5=NC(NC(=O)C6CC6)=NN45)C=C3)C2)C=C1,464.5290000000002
BAWCTQVXGNPSAG-GFCCVEGCSA-N,CC(C)C[C@H](CO)NC1=NC(SCC2=CC=C(Br)C=C2F)=NC2=C1SC(N)=N2,486.4360000000001
UFGLGZCIBIRKBQ-UHFFFAOYSA-N,CC1=CC(=O)OC2=CC(NC(=O)CC3=CC=C(NC(=O)CCC4=CC=CC=C4)C=C3)=CC=C12,440.4990000000002
YCLZRYHJGKMMHR-UHFFFAOYSA-N,OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C1=CC=CC(F)=C1,347.21600000000007
JWRCDBHAKZEKIO-WSDLNYQXSA-N,CC1=CC=C(CS/C(=C/C2=C(O)C=C(O)C=C2O)C(=O)C2=CC=C(Cl)C=C2)C=C1,426.92100000000016
JVZHTUQIMBYDSX-SFHVURJKSA-N,CN1N=C(C(F)(F)F)C=C1C(=O)NC1=CC=C(S(=O)(=O)N2CCCC[C@H]2CCN2CCOCC2)C=C1,529.5850000000006
KXQZHBMWTQJKIU-UHFFFAOYSA-N,CC1=CC(C)=C(N(C(=O)C2=C(C)N=C(C)S2)C(C(=O)NC2CCCCC2)C2=CC=CC=C2)C(C)=C1,489.68500000000034
NNWIUJIDAZVAKH-UHFFFAOYSA-N,COC1=CC=CC=C1N1N=C(C2CCN(S(C)(=O)=O)CC2)C=C1C1CCC(C)(C)CC1,445.62900000000036
KBEMBPBFYDFWAD-UHFFFAOYSA-N,CC1=CN2C(C3=CN(CC4=NC(C5=CC=CC=C5)=NO4)N=C3)=CN=C2C(NC2=CC(CN3CCCCC3)=NS2)=N1,552.6680000000003
QSOQZLQGPKJTNF-UHFFFAOYSA-N,CC(C)C1=NC=CC(N2CCN(CC(=O)N3CCOCC3)CC2)=N1,333.4360000000001
HMZPPGUUXBTWMR-IPPBACCNSA-N,O=C(N/N=C/C1=CC=C(OCC2=CC=C(Cl)C=C2Cl)C=C1O)NC1=NC2=CC=C(N3CCOCC3)C=C2S1,572.4740000000002
KWRGDONAJJNHFJ-UHFFFAOYSA-N,CCCCCCCN1CCC(C)(C)C2=CC(C#CC3=CC=C(C(=O)OCC)C=C3)=CC=C12,431.62000000000023
IAAGTZGGIXMUPK-UHFFFAOYSA-N,CCC(CC)(CC)NC1=NCCNC(C2=CC=C(F)C=C2F)=C1,321.415
NLZYYMHUDULKQF-PRDVQWLOSA-N,CCC1=CC(O)=C(C(=O)CCC2=CC=C3C(=C2)OCCO3)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C1,490.50500000000017
GVJRTMJZEUSOHZ-UHFFFAOYSA-N,Cl.NCC1OB(O)C2=C(OCCC3=CC=CC=C3)C=CC(Cl)=C12,354.042
XILIPBCAHGOCOD-UHFFFAOYSA-N,CC1(C(=O)NC2=NN=C(C(F)(F)C(F)(F)F)S2)CC1(Cl)Cl,370.13
NJQPNHGLEHEGAE-UHFFFAOYSA-N,CCC1=CC=C(OC2=CC=C(C(=O)NCCCCC(=O)NCC(=O)OC)C=C2)C=C1,412.4860000000001
GOWXBAHETVHXOP-UHFFFAOYSA-N,NC1=CC=CC=C1N1C=NC(Br)=C1,238.088
AHBSUJXKRKWNBN-UHFFFAOYSA-N,ClC1=NC(NC2=CC=CC=C2)=NC(NC2=CC=CC=C2)=N1,297.749
UDVYIADMPGEXEM-UHFFFAOYSA-N,COC1=CC=CC=C1N1CCSC1C(N)=O,238.31199999999995
IQCXLQXEXHSCOL-HNNXBMFYSA-N,CC(C)C[C@H](NC(=O)OCC1=CC=CC=C1)C(=O)NCCC=O,320.38900000000007
YNNQHGRWAYBHNJ-IGMITYCISA-N,CC(=O)C1=C(O)C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C(O)C2=C1O[C@@]1(C2)O[C@@H](CO)[C@H](O)[C@H]1O,474.41500000000025
PJXRBWPSBXJQMA-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(CCNS(=O)(=O)C2=CC=C(O)C=C2)C=C1,333.45300000000003
QWHCEIHHPBMPBP-UHFFFAOYSA-N,CC1=CC=CC=C1N1C=CC(CCN(C)C)=C1,228.33899999999997
FSIQZFIMQZTWBR-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCOCC2)CC1,573.796
VQEUHLHQZRGYFS-PEZBUJJGSA-N,CS/C(=N\S(=O)(=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,309.387
SIUMRPMISBNFPO-UHFFFAOYSA-N,OCCC#CC1=CC=C(CN2CCN(CC3=CC=CC=C3)C(CCO)C2)C=C1,378.5160000000001
YEQNCDLIFXVYHO-HWLTWRQWSA-N,C=C1C(=O)O[C@H]2[C@H]1CC/C(COC(=O)/C(=C/C1=CC(OC)=CC=C1OC)C1=CC=C(Cl)C=C1)=C\CC[C@@]1(C)O[C@@H]21,565.0620000000002
ZHUQDMBOWRHWGZ-HCTXVGCHSA-N,COC1=CC(/C=C2\CC/C(=C\C3=CC=C(OCCN4CCCCC4)C(OC)=C3)C2=O)=CC=C1OCCN1CCCCC1,574.7620000000002
KKHZJKYPKPPRFA-UHFFFAOYSA-N,O=C(C1=CC=CC(C(F)(F)F)=C1)N1CCN2C(=O)C3=CC=CC=C3C12C1=CC=C(F)C=C1,440.39600000000013
LLKOSFOXXHOISP-UHFFFAOYSA-N,CC1=CC=C2C(=O)C=C(C(=O)NC3=C(C(=O)NCC4=CC=CO4)C4=C(S3)CCCC4)OC2=C1C,476.5540000000003
DQARDPHLUIPMCO-IURWMYGYSA-N,COC1=CC(/C=N/NC2=NN=C(C3=CN4C5=C(C(N6CCN(C)CC6)=C(F)C=C5C3=O)OCC4C)N2)=CC(OC)=C1OC,592.6320000000003
HYXMPVAAYGZNDJ-UHFFFAOYSA-N,CNC1=CC=C(C(=O)OCC(=O)NC(=O)NC2CCCCC2)C=C1[N+](=O)[O-],378.3850000000002
GPOHTTTVVGUENF-UHFFFAOYSA-N,COC1=CC=C(CC(=O)NC2=CC=C(S(=O)(=O)NC3=NC(C)=CC(C)=N3)C=C2)C=C1,426.4980000000001
KEFDCICXACECDH-UHFFFAOYSA-N,CCC1=CC(NC(=O)C2=NN(C3CCN(C(=O)NC(C)(C)C)CC3)C3=CC=CC=C23)=CC=C1C1=NNC(=O)C(C)=C1,555.6830000000002
NQCMSKALNPHQKN-VCPMIQRASA-N,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=C(CCCN2CCSCC2)C=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,687.9470000000005
JBGVLSLGMIGHKJ-UHFFFAOYSA-N,O=C(NC1CCCCN(CCCC2=CC=CC=C2)C1)C1=CC=C2NN=C(C3=CC=NC=C3)C2=C1,453.5900000000002
ZUFUCISIEJJDPW-UHFFFAOYSA-N,COC1=CC=CC(COC2CCC(OC3=CC=C(CCNC(C)=O)C(C4=CC=CC(F)=C4)=C3)CC2)=C1,491.6030000000003
BJICXUAUXLRODR-JQIJEIRASA-N,CCO/C(O)=C1\C(C)=NC2=NC(SCC(=O)OC)=NN2C1C1=CC(F)=CC(F)=C1,424.4290000000001
SZALFSTUDMTGGL-UHFFFAOYSA-N,COC1=CC=C2C(NC(=O)NC3=CC(C(F)(F)F)=CC=N3)=CC=NC2=C1,362.31100000000004
WCYHXAJXBHTXBM-UHFFFAOYSA-N,CC1=NC2=NC(SCC3=C(Cl)C=CC=C3Cl)=NN2C(NN)=C1,355.2540000000001
XGPYQUZDOZPQQL-UHFFFAOYSA-N,CC1=CC=CC=C1NC(=O)C1=CSC(C2=CC=CN=C2)=N1,295.367
GFKBSBXKTWPJQJ-QGZVFWFLSA-N,CC(F)(F)OC1=CC=C(NC(=O)C2=CN=C(N3CC[C@@H](O)C3)C(C3=CN=CN=C3)=C2)C=C1,441.43800000000016
HXWOYFWETGKNBQ-NSCUHMNNSA-N,C/C=C/CNC(=N)NCCCCCCCCN1CCCCCCOC2=CC=CC=C2CNC(=N)NC1=O,513.7310000000002
VXIZPAZYEFVMIE-UHFFFAOYSA-N,CCOC1=CC=CC(N2CCC(CC#N)(N3C=C(C(N)=O)C(NC4=CC=C(F)C=C4)=N3)CC2)=N1,463.51700000000017
OKLJJPYVMQQDKF-UHFFFAOYSA-N,N#CC(C#N)=CC1=CC=CC(CC2=CC=C(Cl)C(Cl)=C2)=C1,313.18699999999995
IRTXRGLPEHQBFJ-WEMUOSSPSA-N,CCOC(=O)C1=CC=C(N2C(=O)C(O)=C(/C(=N/O)C3=CC=C(OC)C=C3)C2C2=CC=CC=C2)C=C1,472.4970000000001
RELBLTGUBMEHHL-UHFFFAOYSA-N,O=C1C(C2=CC=CC=C2)=COC2=CC(O)=C(O)C=C12,254.24099999999996
XJICNWLAUGBXKK-RUZDIDTESA-N,C=CC(C)(C)C1=CC([C@]2(O)COC3=CC(O)=C(CC=C(C)C)C(O)=C3C2=O)=C(O)C=C1O,440.4920000000002
HKWKWMRIXJMVCH-LYIYLXCWSA-N,CC(C1=CC=C(N2CC[C@H](NS(=O)(=O)C3=CC=C4C=C(Cl)C=CC4=C3)C2=O)C(F)=C1)N1CCCCC1,530.0650000000003
BRXGHBYVWGZKBS-UHFFFAOYSA-N,N#CC1=CC=CC(C2=NN(CC3=CC=C(F)C=C3F)C3=C2CN(C(=O)C2CCC2)CC3)=C1,432.47400000000033
CWGBQIXBLONVJI-UHFFFAOYSA-N,CC(=O)OCC(=O)N1CCN2C(CCC3=CC=CC=C3)=C(C(F)(F)F)C3=CC=CC(=C23)C1,444.45300000000015
YUNYZPGJOLFRAP-MOKQUFKWSA-N,COCCOCCOCCO[C@H]1C=CC2C3CC4=CC=C(OC)C5=C4[C@@]2(CCN3C)C1O5,445.55600000000027
ADZBFSQAIDNUQB-UHFFFAOYSA-N,CC(=O)NCC1=CC=NC=C1C1=CN=C2C(=C1)CCCN2C(N)=O,325.37200000000007
LSWSVTZDXOWJSB-UHFFFAOYSA-N,O=C(C1=CC=CC=C1)N1CCN(CC2=C(C3=CC=C(Cl)C=C3)N=C3C=CC(C4=CC=CC=C4)=CN23)CC1,507.0370000000002
YRSQJPGULPLBJK-UHFFFAOYSA-N,CCCCN(C)C(=O)CCCCN1C(=O)NC2=CC(OCC)=C(OCC)C=C2C1=O,419.5220000000002
RCIVWNYMKYIWLX-UHFFFAOYSA-N,NC1=NC(CC2=CC=CC=C2)=CN1CC1=CC=C(F)C=C1,281.33399999999995
AJXBVQRQNHLIPQ-SFHVURJKSA-N,CC(C)[C@H](NC(=O)C1=CC=CC=C1F)C(=O)NCCC1=CC=CC=C1,342.41400000000004
UQBDLKCFIXREDK-UHFFFAOYSA-N,CCCCOCCCCCCCCCCCNC1=CC=C(C(=O)O)C=C1,363.542
SHXPSOWXDWWIBH-UQKRIMTDSA-N,CCCCCCCCC1=CC=C2N=C([C@@H](N)COP(=O)(O)O)NC2=C1.O=C(O)C(F)(F)F,483.4240000000001
NPMOMRBZYRJGKA-UHFFFAOYSA-N,C=CCNC(=S)NCC1=CC=CN=C1,207.30200000000002
ZHKVXXFLBDLGAL-UHFFFAOYSA-N,COC1=CC=C(C(=O)NCCNC(=O)C2=CC=C(OC)C=C2)C=C1,328.36800000000005
WVPSHGPDUSOFJO-UHFFFAOYSA-N,O=C1NC2=C(F)C=CC=C2C12NC1=CC=CC=C1N1C=CC=C21,305.312
NFOGOSDSYZEKLW-UHFFFAOYSA-N,O=C(CCC1=CC=C(C2=CC=CC(F)=C2)C=C1)N1CCCC1,297.3730000000001
MVBSAFHMRREWNO-UHFFFAOYSA-N,O=P(O)(O)OC1COC(O)C(O)C1O,230.109
WVYXEXFDXWLPTB-UHFFFAOYSA-N,O=C1OC2(CCN(C3=NC4=CC(Cl)=C(F)C=C4N3)CC2)C2=CC=CC=C12,371.79900000000015
QFKOGTHTOSEUEO-LJAQVGFWSA-N,N#CC1=CC=CC(S(=O)(=O)N2CCC3=CC4=C(C=NN4C4=CC=C(F)C=C4)C[C@]3(C(=O)C3=CC(C(F)(F)F)=CC=N3)C2)=C1,607.5890000000002
KJTAMFZYAWDBFB-UHFFFAOYSA-N,COC1=CC=C2C(Cl)=C(C(=O)NC3=NOC(C)=C3)SC2=C1Cl,357.2180000000001
ZZJVQZFMOCZJMR-UHFFFAOYSA-N,O=C(NC(=O)C1=CC=CC=C1)NC1CCN(CCCC2=CNC3=CC=CC=C23)CC1,404.5140000000002
LQPLVPGSGMDTKQ-UHFFFAOYSA-N,CCC1=NC(C2=CC=CC(C(F)(F)F)=C2)=C(C2=CC=NC(NC(=O)C3=CC=CC=C3)=C2)S1,453.48900000000003
ZFWKZOQISJDZRI-PXLXIMEGSA-N,CN(C)C1=CC=C(/C=C(/SC2=CC=CC=C2Br)C(=O)C2=CC=C(Br)C=C2)C=C1,517.2860000000002
OUUCBUSQKUBASB-UHFFFAOYSA-N,O=C(CC1=CC=C(Cl)C=C1)NC1=CC=CC=C1N1CCOCC1,330.8150000000002
FGPUBRCPAXCSFO-UHFFFAOYSA-N,COC1=CC=C(NC2=NC(NC(=O)C(C)(C)C)=NC3=C2C2=CC=CC=C2N3)C=C1,389.4590000000001
BXPITSRJPOZWMD-UHFFFAOYSA-N,CC1=CC=C(N2N=C3C(=O)N(CCCC(=O)NCC4=CC=C(Cl)C=C4)N=C(C)C3=C2C)C=C1,463.96900000000016
HLZZFDATEOYMIR-UHFFFAOYSA-N,FC1=CC=C(N2CCN(CC3=CC=CC=C3C3=CC=CC=C3)CC2)C=C1,346.4490000000001
UTTFLOMEJOPPOK-UHFFFAOYSA-N,O=C(CN1CCN(C2=CC3=C(C=C2F)C(=O)C(C(=O)O)=CN3C2CC2)CC1)NCCOCCOCCNC(=O)CN1CCN(C2=CC3=C(C=C2F)C(=O)C(C(=O)O)=CN3C2CC2)CC1,890.9419999999998
YZFPWJFROOBFDO-UHFFFAOYSA-N,COC(=O)C1=C(C)C(C(=O)OC)=C(S(=O)(=O)NC(CC2=CC=CC=C2)C(=O)O)S1,441.4830000000001
LPEZEEQKZNKXQM-UHFFFAOYSA-N,CN1CC(C(=O)NCCC2=CC=C3C(=C2)OCO3)CC1=O,290.3190000000001
WZCYRDNTXJOKMM-UHFFFAOYSA-N,CNC1=NC(NC2=CC=C(C(N)=O)C=C2OC)=NC=C1Cl,307.741
NCIYCSASBSFDJA-UHFFFAOYSA-N,O=C1NC2=CC=CC=C2C1=NC1=CC=CC=C1Cl,256.692
YFYBUEHTQTUMTB-UHFFFAOYSA-N,COC1=CC=C(NC(=O)CSC2=NC3=C(OC(C)C)N=C(N)N=C3N2)C=C1OC,418.47900000000016
VEOXVBTXROWDAH-UHFFFAOYSA-N,CC(=O)O.CN1C=C(C2=C(C3=CN(CCCN)C4=CC=CC=C34)C(=O)NC2=O)C2=CC=CC=C12,458.51800000000014
